Date,Receiveno,Hour,Dept,Category,Sub Category,Type_Product,Product_Name,Qty,Price,Value
1-Jun-20,JAK0211.58.20200601.0249,19,CIGARETTE,CIGARETTE,KRETEK CIGARETTE HANDMADE (SKT),CIGARETTE,DJI SAM SOE KRETEK 12S,2,18000,36000
1-Jun-20,JAK0211.58.20200601.0279,22,CIGARETTE,CIGARETTE,KRETEK CIGARETTE HANDMADE (SKT),CIGARETTE,DJI SAM SOE KRETEK 12S,2,18000,36000
2-Jun-20,JAK0211.58.20200602.0045,9,CIGARETTE,CIGARETTE,KRETEK CIGARETTE HANDMADE (SKT),CIGARETTE,DJI SAM SOE KRETEK 12S,1,18000,18000
2-Jun-20,JAK0211.58.20200602.0157,12,CIGARETTE,CIGARETTE,KRETEK CIGARETTE HANDMADE (SKT),CIGARETTE,DJI SAM SOE KRETEK 12S,1,18000,18000
2-Jun-20,JAK0211.58.20200602.0399,22,CIGARETTE,CIGARETTE,KRETEK CIGARETTE HANDMADE (SKT),CIGARETTE,DJI SAM SOE KRETEK 12S,1,18000,18000
3-Jun-20,JAK0211.58.20200603.0069,10,CIGARETTE,CIGARETTE,KRETEK CIGARETTE HANDMADE (SKT),CIGARETTE,DJI SAM SOE KRETEK 12S,1,18000,18000
3-Jun-20,JAK0211.58.20200603.0131,12,CIGARETTE,CIGARETTE,KRETEK CIGARETTE HANDMADE (SKT),CIGARETTE,DJI SAM SOE KRETEK 12S,1,18000,18000
3-Jun-20,JAK0211.58.20200603.0357,20,CIGARETTE,CIGARETTE,KRETEK CIGARETTE HANDMADE (SKT),CIGARETTE,DJI SAM SOE KRETEK 12S,1,18000,18000
4-Jun-20,JAK0211.58.20200604.0079,12,CIGARETTE,CIGARETTE,KRETEK CIGARETTE HANDMADE (SKT),CIGARETTE,DJI SAM SOE KRETEK 12S,1,18000,18000
4-Jun-20,JAK0211.58.20200604.0243,21,CIGARETTE,CIGARETTE,KRETEK CIGARETTE HANDMADE (SKT),CIGARETTE,DJI SAM SOE KRETEK 12S,1,18000,18000
10-Jun-20,JAK0211.58.20200610.0061,10,CIGARETTE,CIGARETTE,KRETEK CIGARETTE HANDMADE (SKT),CIGARETTE,DJI SAM SOE KRETEK 12S,1,18000,18000
10-Jun-20,JAK0211.58.20200610.0105,11,CIGARETTE,CIGARETTE,KRETEK CIGARETTE HANDMADE (SKT),CIGARETTE,DJI SAM SOE KRETEK 12S,1,18000,18000
10-Jun-20,JAK0211.58.20200610.0153,14,CIGARETTE,CIGARETTE,KRETEK CIGARETTE HANDMADE (SKT),CIGARETTE,DJI SAM SOE KRETEK 12S,1,18000,18000
10-Jun-20,JAK0211.58.20200610.0289,19,CIGARETTE,CIGARETTE,KRETEK CIGARETTE HANDMADE (SKT),CIGARETTE,DJI SAM SOE KRETEK 12S,2,18000,36000
10-Jun-20,JAK0211.58.20200610.0317,20,CIGARETTE,CIGARETTE,KRETEK CIGARETTE HANDMADE (SKT),CIGARETTE,DJI SAM SOE KRETEK 12S,2,18000,36000
10-Jun-20,JAK0211.58.20200610.0318,20,CIGARETTE,CIGARETTE,KRETEK CIGARETTE HANDMADE (SKT),CIGARETTE,DJI SAM SOE KRETEK 12S,2,18000,36000
10-Jun-20,JAK0211.58.20200610.0322,20,CIGARETTE,CIGARETTE,KRETEK CIGARETTE HANDMADE (SKT),CIGARETTE,DJI SAM SOE KRETEK 12S,2,18000,36000
10-Jun-20,JAK0211.58.20200610.0353,22,CIGARETTE,CIGARETTE,KRETEK CIGARETTE HANDMADE (SKT),CIGARETTE,DJI SAM SOE KRETEK 12S,1,18000,18000
11-Jun-20,JAK0211.58.20200611.0018,8,CIGARETTE,CIGARETTE,KRETEK CIGARETTE HANDMADE (SKT),CIGARETTE,DJI SAM SOE KRETEK 12S,1,18000,18000
